00.wav: 193_Violin_mdb - 188[sec]
01.wav: 88_TenorSaxophone_mdb - 1[sec]
02.wav: 125_Violin_mdb - 35[sec]
03.wav: 41_violin - 76[sec]
04.wav: 8_saxophone - 109[sec]
05.wav: 143_Clarinet_mdb - 63[sec]
06.wav: 99_Trumpet_mdb - 9[sec]
07.wav: 1_saxophone - 29[sec]
08.wav: 13_Clarinet_mdb - 36[sec]
09.wav: 19_accordion - 27[sec]
10.wav: 16_trumpet - 3[sec]
11.wav: 14_trumpet - 13[sec]
12.wav: 30_flute - 14[sec]
13.wav: 102_Trumpet_mdb - 1[sec]
14.wav: 135_Violin_mdb - 23[sec]
15.wav: 45_Flute_mdb - 70[sec]
16.wav: 7_Clarinet_mdb - 1[sec]
17.wav: 205_DistortedElectricGuitar_mdb - 222[sec]
18.wav: 44_Flute_mdb - 22[sec]
19.wav: 7_accordion - 37[sec]
20.wav: 3_cello - 14[sec]
21.wav: 37_accordion - 52[sec]
22.wav: 15_cello - 185[sec]
23.wav: 15_flute - 148[sec]
24.wav: 198_Clarinet_mdb - 1[sec]
25.wav: 14_saxophone - 66[sec]
26.wav: 29_violin - 60[sec]
27.wav: 148_DistortedElectricGuitar_mdb - 114[sec]
28.wav: 58_Flute_mdb - 109[sec]
29.wav: 10_Clarinet_mdb - 50[sec]
30.wav: 39_cello - 109[sec]
31.wav: 9_saxophone - 14[sec]
32.wav: 196_Violin_mdb - 42[sec]
33.wav: 11_Clarinet_mdb - 0[sec]
34.wav: 202_DistortedElectricGuitar_mdb - 3[sec]
35.wav: 15_trumpet - 74[sec]
36.wav: 90_Trumpet_mdb - 8[sec]
37.wav: 203_DistortedElectricGuitar_mdb - 125[sec]
38.wav: 43_violin - 65[sec]
39.wav: 13_cello - 112[sec]
40.wav: 61_Flute_mdb - 39[sec]
41.wav: 38_flute - 24[sec]
42.wav: 85_TenorSaxophone_mdb - 137[sec]
43.wav: 20_DistortedElectricGuitar_mdb - 5[sec]
44.wav: 47_cello - 90[sec]
45.wav: 30_accordion - 26[sec]
46.wav: 48_accordion - 90[sec]
47.wav: 149_DistortedElectricGuitar_mdb - 89[sec]
48.wav: 147_DistortedElectricGuitar_mdb - 2[sec]
49.wav: 43_accordion - 80[sec]
50.wav: 50_cello - 70[sec]
51.wav: 4_trumpet - 2[sec]
52.wav: 41_cello - 25[sec]
53.wav: 3_accordion - 19[sec]
54.wav: 9_Clarinet_mdb - 3[sec]
55.wav: 7_saxophone - 59[sec]
